architecture,seed,parameters,test_accuracy_percent,test_loss,validation_accuracy_percent,best_epoch,validation_95_epoch,validation_95_seconds,recorded_training_seconds,peak_working_set_mib,recording_mib
flywire,42,7778,99.32432174682617,0.061047136783599854,100.0,200,27,9.31738740000037,72.50849050000033,285.9375,712.3313808441162
flywire,43,7778,99.32432174682617,0.10711662471294403,100.0,199,39,16.131359699999848,84.92059509999945,286.3671875,702.1493511199951
flywire,44,7778,99.32432174682617,0.2989845871925354,100.0,200,41,16.640550899999653,83.15778320000027,286.77734375,674.1039724349976
flywire,45,7778,99.32432174682617,0.17305007576942444,100.0,198,74,32.42081119999966,88.98783179999919,285.4921875,689.7420234680176
flywire,46,7778,100.0,0.005172676406800747,100.0,199,30,11.142270800000006,75.22098160000041,286.56640625,686.1277294158936
random,42,7778,99.32432174682617,0.14220939576625824,100.0,197,53,18.860637699999643,77.4270461999995,284.984375,722.0614194869995
random,43,7778,99.32432174682617,0.07820852100849152,100.0,199,30,11.535316299999977,80.32923730000039,286.515625,723.0749282836914
random,44,7778,99.32432174682617,0.07813914865255356,100.0,200,32,13.749694800000725,88.47526449999987,286.6328125,700.7040538787842
random,45,7778,99.32432174682617,0.10095012187957764,100.0,198,29,13.083784700000251,91.79744650000066,286.171875,709.4888801574707
random,46,7778,99.32432174682617,0.008470864966511726,100.0,172,32,14.704824299999927,93.60682019999967,287.4140625,689.8472986221313
mlp,42,7779,99.32432174682617,0.016330448910593987,100.0,198,17,3.895510600000307,43.83710549999978,278.45703125,386.1871328353882
mlp,43,7779,99.32432174682617,0.02465221844613552,100.0,200,22,5.210838099999819,47.76510409999992,278.41796875,397.2233552932739
mlp,44,7779,99.32432174682617,0.029896052554249763,100.0,200,22,5.247269999999844,48.811998199999834,279.1015625,401.8793830871582
mlp,45,7779,99.32432174682617,0.025536878034472466,100.0,199,18,4.962106099999801,56.060138499999994,278.6953125,400.3871488571167
mlp,46,7779,99.32432174682617,0.06983549147844315,100.0,199,19,5.592915400000493,48.0429838,279.0390625,397.0999755859375
