architecture,seed,parameters,initial_stochastic_hit_percent,final_stochastic_hit_percent,final_stochastic_return,final_stochastic_length,final_greedy_hit_percent,hit_curve_auc_percent,training_overall_hit_percent,recorded_training_seconds,recording_mib
flywire,42,7913,35.15625,89.0625,1.328293603700331,16.87109375,58.203125,66.09375,71.52202354993459,31.432617700000264,101.91713333129883
flywire,43,7913,33.59375,84.375,1.2892627310470925,19.3828125,51.5625,65.625,68.81868131868131,40.14669390000017,104.92295265197754
flywire,44,7913,33.203125,93.75,1.5669987992194727,15.265625,30.859375,69.00390625,76.8192968111202,37.89392439999938,101.25021934509277
flywire,45,7913,35.15625,94.53125,1.5949704847552129,14.5,93.75,75.0,82.15892053973015,36.831959900000584,114.97754859924316
flywire,46,7913,29.6875,91.796875,1.486379197141832,16.77734375,0.0,64.62890625,70.23108291798822,36.44365239999934,104.43669700622559
random,42,7913,35.15625,99.609375,1.8202779668171205,10.19921875,69.53125,70.13671875,78.72980082675686,38.45314409999992,102.72619152069092
random,43,7913,33.59375,91.015625,1.4762981017187486,16.59765625,98.4375,70.29296875,72.92841648590021,37.87584430000061,108.24582481384277
random,44,7913,33.59375,94.921875,1.6115284217635417,14.5625,28.125,72.55859375,79.42677659992148,38.48120840000047,103.44418525695801
random,45,7913,35.9375,97.265625,1.7413968782962548,13.375,99.21875,75.21484375,79.58155753583883,37.227070200000526,112.2606201171875
random,46,7913,30.078125,97.65625,1.712005389784208,13.23828125,94.140625,67.94921875,74.00862068965517,36.575936700000966,106.6472110748291
mlp,42,7913,35.9375,100.0,1.9932670738871456,6.77734375,100.0,86.484375,94.10330303702061,19.878912300000593,57.82499313354492
mlp,43,7913,31.25,100.0,1.9775639488871455,7.26953125,99.21875,87.3046875,94.82795931616533,20.263554099999965,59.332459449768066
mlp,44,7913,35.15625,100.0,1.9690483238871455,7.28515625,99.21875,87.0703125,93.99909420289855,20.30012919999899,61.46815776824951
mlp,45,7913,36.71875,100.0,2.0361186363871457,5.77734375,100.0,83.8671875,93.90552509489667,19.264419199998883,55.702277183532715
mlp,46,7913,29.6875,100.0,2.047759261387146,5.546875,99.609375,86.484375,95.57456303458535,19.950210299999526,56.43869590759277
